X 		 Y
 0.0	0.0	100
 0.0	2.0	100
 0.0	0.0	100
 0.0	0.0	100
 0.0	1.0	100
 0.0	0.0	100
 0.0	1.0	100
 1.0	-1.0	100
 8.0	2.0	110
 16.0	3.0	120
 42.0	-21.0	125
 91.0	9.0	135
 2.0	-3.0	135
 15.0	10.0	145
 20.0	8.0	155
 87.0	15.0	165
 24.0	0.0	175
 14.0	0.0	185
 -685.0	-5.0	-5
 6.0	-6.0	0
 -28.0	2.0	-10
 -4.0	2.0	-10
 -1.0	0.0	-10
 2.0	0.0	-10
 23.0	1.0	0
 20.0	-1.0	10
 19.0	-3.0	20
 18.0	-2.0	30
 16.0	0.0	40
 12.0	0.0	50
 10.0	1.0	60
 152.0	47.0	65
 -6.0	-2.0	55
 -11.0	-11.0	40
 -1.0	-3.0	40
 0.0	-1.0	40
 20.0	-3.0	50
 14.0	-3.0	60
 9.0	-2.0	70
 13.0	-1.0	80
 12.0	-3.0	90
 15.0	-1.0	100
 -84.0	107.0	90
 -197.0	212.0	80
 -19.0	0.0	70
 -8.0	3.0	60
 2.0	-2.0	60
 4.0	-1.0	60
 6.0	-1.0	70
 7.0	-1.0	80
 14.0	0.0	90
 12.0	0.0	100
 18.0	0.0	110
 91.0	11.0	120
 34.0	1.0	130
 21.0	0.0	140
 13.0	0.0	150
 101.0	-2.0	160
 0.0	0.0	160
 14.0	0.0	170
 15.0	0.0	180
 8.0	0.0	190
 -2.0	-138.0	0
 -138.0	-215.0	0
 -111.0	-100.0	-15
 -26.0	-1.0	-25
 -18.0	-1.0	-35
 -19.0	-70.0	-50
 -29.0	-146.0	0
 5.0	10.0	10
 7.0	-4.0	20
 0.0	-29.0	15
 1.0	-12.0	10
 4.0	-7.0	5
 9.0	-2.0	15
 -31.0	218.0	0
 5.0	34.0	10
 14.0	58.0	20
 0.0	5.0	20
 -1.0	6.0	20
 -15.0	0.0	10
 -8.0	-1.0	0
 -3.0	-1.0	0
 0.0	-2.0	0
 0.0	-2.0	0
 86.0	-43.0	5
 50.0	0.0	15
 -109.0	35.0	5
 -47.0	21.0	-5
 5.0	1.0	5
 12.0	19.0	15
 6.0	16.0	25
 13.0	0.0	35
 16.0	-4.0	45
 263.0	-7.0	-5
 36.0	-30.0	0
 7.0	-5.0	5
 -4.0	4.0	5
 -224.0	66.0	0
 -120.0	18.0	-10
 -2.0	-5.0	-15
 27.0	-1.0	-5
 10.0	-4.0	5
 97.0	26.0	15
 45.0	-19.0	20
 -3.0	-13.0	15
 99.0	-88.0	20
 36.0	23.0	30
 161.0	36.0	35
 99.0	3.0	45
 -265.0	163.0	-5
 -181.0	107.0	-10
 14.0	-11.0	-5
 8.0	-2.0	5
 7.0	7.0	15
 6.0	4.0	25
 7.0	3.0	35
 136.0	-2.0	40
 -12.0	7.0	30
 0.0	2.0	30
 31.0	0.0	40
 98.0	3.0	50
 33.0	1.0	60
 24.0	0.0	70
 11.0	0.0	80
 10.0	0.0	90
 12.0	-2.0	100
 15.0	-1.0	110
 -313.0	2.0	0
 -177.0	5.0	-5
 0.0	-6.0	-10
 -26.0	-237.0	0
 -11.0	-112.0	-15
 2.0	-9.0	-20
 0.0	-2.0	-20
 -3.0	-1.0	-20
 -4.0	0.0	-20
 -4.0	0.0	-20
 -1.0	0.0	-20
 1.0	1.0	-20
 224.0	-4.0	-15
 123.0	-2.0	-5
 251.0	26.0	0
 20.0	4.0	10
 65.0	27.0	20
 -265.0	36.0	0
 -295.0	28.0	0
 -118.0	-66.0	-15
 6.0	-4.0	-5
 5.0	1.0	5
 -1.0	3.0	5
 1.0	3.0	5
 6.0	2.0	15
 82.0	0.0	25
 157.0	6.0	30
 -4.0	5.0	30
 -2.0	3.0	30
 134.0	-61.0	30
 -3.0	4.0	30
 22.0	-44.0	35
 31.0	3.0	45
 2.0	14.0	45
 -445.0	175.0	-5
 9.0	25.0	5
 10.0	34.0	15
 4.0	0.0	15
 2.0	1.0	15
 10.0	3.0	25
 11.0	3.0	35
 212.0	25.0	40
 1.0	-2.0	40
 0.0	-1.0	40
 62.0	3.0	50
 160.0	-27.0	50
 -8.0	12.0	40
 7.0	2.0	50
 14.0	0.0	60
 14.0	4.0	70
 64.0	-8.0	75
 112.0	0.0	85
 3.0	10.0	85
 -458.0	32.0	0
 -231.0	-2.0	-5
 25.0	12.0	5
 5.0	-4.0	15
 9.0	-1.0	25
 8.0	0.0	35
 7.0	0.0	45
 9.0	0.0	55
 60.0	0.0	65
 120.0	-27.0	70
 79.0	-48.0	75
 71.0	-33.0	80
 0.0	35.0	80
 16.0	26.0	90
 18.0	13.0	100
 106.0	27.0	110
 1.0	-3.0	110
 3.0	-1.0	110
 -266.0	-205.0	0
 -105.0	-4.0	-10
 100.0	-104.0	-5
 -47.0	-79.0	-20
 -198.0	-159.0	0
 -3.0	-2.0	0
 -11.0	-13.0	-15
 -1.0	0.0	-15
 0.0	0.0	-15
 1.0	0.0	-15
 -19.0	126.0	-30
 -9.0	68.0	-40
 14.0	-24.0	-35
 23.0	-132.0	0
 0.0	-13.0	-5
 -1.0	-2.0	-5
 -6.0	-5.0	-20
 -3.0	-2.0	-20
 -1.0	-1.0	-20
 0.0	0.0	-20
 -1.0	0.0	-20
 -3.0	-2.0	-20
 -1.0	-2.0	-20
 5.0	-1.0	-10
 11.0	-2.0	0
 11.0	-3.0	10
 -270.0	-104.0	-5
 741.0	141.0	-5
 19.0	7.0	5
 0.0	-13.0	0
 -3.0	-2.0	0
 44.0	33.0	10
 101.0	46.0	20
 -26.0	5.0	10
 -105.0	-29.0	-5
 -260.0	-34.0	-5
 -168.0	-23.0	-15
 -81.0	0.0	-25
 183.0	20.0	-20
 349.0	20.0	0
 4.0	4.0	0
 -6.0	0.0	-10
 -497.0	-47.0	-5
 9.0	18.0	5
 47.0	14.0	15
 2.0	0.0	15
 2.0	0.0	15
 2.0	0.0	15
 2.0	2.0	15
 1.0	7.0	15
